resto_id,name,location,address,category_region,category_type,category_cuisine,category_price,category_wifi,rating,vote,desc,url,date_taken,status
63,Panties Pizza Dago,Dago,"Jl. Ir. H. Djuanda No. 125, Dago, Bandung",internasional,,western,40000,no,3.8,85,internasional jajanan western italia pizza,https://www.zomato.com/bandung/panties-pizza-dago,5/14/2020,FIX
64,Mimiti Coffee & Space,Dago,"Jl. Sumur Bandung No. 14, Dago, Bandung",internasional,,,27500,yes,4.1,258,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/mimiti-coffee-space-dago,5/14/2020,FIX
65,Starbucks Coffee Dago,Dago,"Jl. Dipati Ukur No. 42, Dago, Bandung",internasional,cafe,western,80000,yes,3.9,40,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/starbucks-coffee-dago,5/14/2020,FIX
66,Braga Art Cafe,Braga,"Jl. Braga No. 68, Braga, Bandung 40111",internasional,cafe,western,100000,yes,4.1,199,internasional cafe bar western kopi teh cemilan alkohol wifi nyaman,https://www.zomato.com/bandung/braga-art-cafe-braga,5/14/2020,FIX
67,Wiki Koffie,Braga,"Jl. Braga No. 50, Braga, Bandung",internasional,cafe,campur,50000,no,4.3,230,internasional cafe western asia kopi teh cemilan,https://www.zomato.com/bandung/wiki-koffie-braga,5/14/2020,FIX
68,Cha Ra Da,Braga,"Jl. Kebon Jukut No. 25, Braga, Bandung",internasional,resto,korea,75000,no,4.2,83,internasional resto asia korea grill,https://www.zomato.com/bandung/cha-ra-da-braga,5/14/2020,FIX
69,Justus Steak House Braga,Braga,"Braga Citywalk, LG Unit G-05, Jl. Braga No. 99-101, Braga, Bandung",internasional,resto,western,125000,yes,3.7,27,internasional resto western steak wifi,https://www.zomato.com/bandung/justus-steak-house-braga,5/14/2020,FIX
70,Bakmi GM,Braga,"Istana BEC, Lantai Street Level, Jl. Purnawarman No. 13-15, Braga, Bandung",lokal,resto,,50000,no,3.4,11,lokal resto jajanan bakmi,https://www.zomato.com/bandung/bakmi-gm-braga,5/14/2020,FIX
71,Bakso Mantep Gunung Giri Solo,Braga,"Jl. Aceh No. 41, Braga, Bandung",lokal,resto,,30000,no,3.6,15,lokal resto jajanan jawa bakmi bakso,https://www.zomato.com/bandung/bakso-mantep-gunung-giri-solo-braga,5/14/2020,FIX
72,Mie Rica Kejaksaan,Braga,"Jl. Kejaksaan No. 7, Braga, Bandung",lokal,resto,,50000,no,321,4.5,lokal resto jajanan bakmi bakso babi,https://www.zomato.com/bandung/mie-rica-kejaksaan-braga,5/14/2020,FIX
73,Warung Lima Rasa,Braga,"Jl. Braga No. 36, Braga, Bandung",lokal,resto,,60000,no,3.7,71,internasional lokal resto asia sate kopi,https://www.zomato.com/bandung/warung-lima-rasa-braga,5/14/2020,FIX
74,Seblak Deu Tjenghar,Braga,"Jl. Purnawarman, Braga, Bandung",lokal,jajanan,sunda,20000,no,3.6,17,lokal jajanan sunda cemilan,https://www.zomato.com/bandung/seblak-deu-tjenghar-braga,5/14/2020,FIX
75,Sushi Bar,Braga,"Istana BEC, Lantai Street Level, Jl. Purnawarman No. 13-15, Braga, Bandung",internasional,resto,jepang,75000,no,3.2,22,internasional resto asia jepang sushi,https://www.zomato.com/bandung/sushi-bar-braga,5/14/2020,FIX
76,Bandung Suki,Braga,"Jl. Braga No. 70, Braga, Bandung 40111",internasional,resto,jepang,125000,yes,3.5,22,internasional resto asia jepang alkohol wifi,https://www.zomato.com/bandung/bandung-suki-braga,5/14/2020,FIX
77,Bubur Ayam H. Hamid,Braga,"Merdeka Food Stall, Jl. Punawarman No. 10-12, Braga, Bandung",lokal,resto,,25000,no,3,12,lokal resto jajanan bubur,https://www.zomato.com/bandung/bubur-ayam-h-hamid-braga,5/14/2020,FIX
78,Burger King Braga,Braga,"Istana BEC, Lantai Street Level, Jl. Purnawarman No. 13-15, Braga, Bandung",internasional,resto,western,40000,no,3.6,12,internasional resto jajanan western amerika burger fast food,https://www.zomato.com/bandung/burger-king-braga,5/14/2020,FIX
79,Panties Pizza Braga,Braga,"Istana BEC, Lantai Upper Ground, Jl. Purnawarman No. 13-15, Braga, Bandung",internasional,,western,40000,no,3.5,11,internasional jajanan western italia pizza,https://www.zomato.com/bandung/panties-pizza-braga,5/14/2020,FIX
80,KartikaSari Braga,Braga,"Jl. Kebon Jukut No. 3C, Braga, Bandung",campur,bakery,,50000,no,3.3,11,internasional lokal bakery cemilan,https://www.zomato.com/bandung/kartikasari-braga,5/14/2020,FIX
81,Ayam Penyet Surabaya,Braga,"Jl. Terusan ABC No. 103, Braga, Bandung",lokal,resto,jawa,40000,no,3.4,11,lokal resto jajanan jawa ayam geprek,https://www.zomato.com/bandung/ayam-penyet-surabaya-braga,5/14/2020,FIX
